R,I,A,S,E,C,carrera_id,nombre_carrera
5.89,2.91,6.66,1.59,6.12,2.19,37,Lic. en Arquitectura
6.26,3.28,6.45,2.45,5.82,1.8,37,Lic. en Arquitectura
7.09,3.43,7.45,2.27,6.14,3.97,37,Lic. en Arquitectura
6.9,3.09,6.73,3.49,6.08,1.59,37,Lic. en Arquitectura
6.44,1.6,7.19,1.58,5.25,3.34,37,Lic. en Arquitectura
6.84,1.63,6.92,2.95,5.5,3.73,37,Lic. en Arquitectura
6.18,3.04,6.8,3.29,5.98,3.02,37,Lic. en Arquitectura
6.37,1.79,7.34,4.0,5.03,1.67,37,Lic. en Arquitectura
6.01,3.76,6.85,1.72,5.69,3.11,37,Lic. en Arquitectura
6.99,3.47,6.99,1.95,5.83,3.84,37,Lic. en Arquitectura
7.01,2.5,7.28,3.4,4.98,3.38,37,Lic. en Arquitectura
6.84,3.31,6.74,2.61,5.75,2.24,37,Lic. en Arquitectura
6.04,2.23,6.44,3.24,5.65,2.1,37,Lic. en Arquitectura
6.8,2.41,7.44,3.37,5.3,1.83,37,Lic. en Arquitectura
6.1,2.95,7.42,1.61,5.86,2.8,37,Lic. en Arquitectura
6.83,3.89,6.41,1.62,5.39,2.49,37,Lic. en Arquitectura
5.92,3.2,6.46,1.97,5.35,1.7,37,Lic. en Arquitectura
6.3,2.67,6.85,2.71,6.14,3.7,37,Lic. en Arquitectura
5.87,1.76,6.92,3.46,5.37,1.73,37,Lic. en Arquitectura
6.48,3.61,7.42,3.59,6.23,3.26,37,Lic. en Arquitectura
5.93,3.25,6.45,1.91,6.02,3.44,37,Lic. en Arquitectura
6.56,3.79,7.56,3.03,4.8,3.13,37,Lic. en Arquitectura
6.33,3.19,6.54,3.61,6.2,2.32,37,Lic. en Arquitectura
5.82,3.27,7.82,1.52,5.11,3.77,37,Lic. en Arquitectura
6.04,2.79,6.6,2.89,5.7,3.74,37,Lic. en Arquitectura
6.59,2.11,6.45,2.53,5.56,2.86,37,Lic. en Arquitectura
6.94,2.46,6.56,3.57,5.89,2.01,37,Lic. en Arquitectura
5.69,1.85,6.8,1.92,5.37,3.08,37,Lic. en Arquitectura
5.72,3.85,7.29,2.25,5.28,3.75,37,Lic. en Arquitectura
